Info,Dijkstra - Fastest Path
Number of cars,44125.0
Total time traveled [h],83677.0
Total distance traveled [km],319025.0
Avg. speed [km/h],3.81
Avg. distance per trip [km],7.23
Avg. traveltime per trip [minutes],113.78
