dist_group,main_mode,share
0 - 1000,car,0.02348099733720649
1000 - 2000,car,0.10224246825554015
2000 - 5000,car,0.47630994036222796
5000 - 10000,car,0.28683347637596
10000 - 20000,car,0.11113311766906538
