purpose,bin,arrival,departure,traveltime,time
escape,10,0.009276780357225274,0.02810725988830941,0.09606775280380302,00:10
escape,20,0.028199566160520606,0.1562745188535561,0.04488392486269442,00:20
escape,30,0.036276364979000324,0.3564868232796419,0.029768772788110954,00:30
escape,40,0.036276364979000324,0.324179628005723,0.039968615867448196,00:40
escape,50,0.03496100059999077,0.11808279872617344,0.033668712789034015,00:50
escape,60,0.03323025799603083,0.01589975538837864,0.03433793326256519,01:00
escape,70,0.03290718604329164,9.230627221119675E-4,0.033622559652928416,01:10
escape,80,0.03288410947523884,4.615313610559837E-5,0.034153320718142796,01:20
escape,90,0.03286103290718604,0.0,0.0312687497115429,01:30
escape,100,0.03286103290718604,0.0,0.02192273965015923,01:40
escape,110,0.03286103290718604,0.0,0.02789957077583422,01:50
escape,120,0.032791803203027645,0.0,0.02413809018322795,02:00
escape,130,0.02388424793464716,0.0,0.018968938939400933,02:10
escape,140,0.02388424793464716,0.0,0.02418424331933355,02:20
escape,150,0.02388424793464716,0.0,0.023791941662435964,02:30
escape,160,0.02386117136659436,0.0,0.023145797756957586,02:40
escape,170,0.02390732450269996,0.0,0.03304564545160844,02:50
escape,180,0.02383809479854156,0.0,0.024230396455439146,03:00
escape,190,0.02390732450269996,0.0,0.0227304195320072,03:10
escape,200,0.02386117136659436,0.0,0.01617667420501223,03:20
escape,210,0.02386117136659436,0.0,0.015299764619005861,03:30
escape,220,0.02390732450269996,0.0,0.022891955508376794,03:40
escape,230,0.021945816218212028,0.0,0.023145797756957586,03:50
escape,240,0.017976646513130568,0.0,0.015253611482900263,04:00
escape,250,0.017976646513130568,0.0,0.013707481423362717,04:10
escape,260,0.017976646513130568,0.0,0.01790741680897217,04:20
escape,270,0.017999723081183368,0.0,0.016961277518807404,04:30
escape,280,0.017976646513130568,0.0,0.018668943554714542,04:40
escape,290,0.017976646513130568,0.0,0.02215350533068722,04:50
escape,300,0.017999723081183368,0.0,0.02067660497530807,05:00
escape,310,0.017976646513130568,0.0,0.015761295980061846,05:10
escape,320,0.017976646513130568,0.0,0.012115198227719573,05:20
escape,330,0.017976646513130568,0.0,0.010545991600129229,05:30
escape,340,0.017976646513130568,0.0,0.009576775741911663,05:40
escape,350,0.017999723081183368,0.0,0.010638297872340425,05:50
escape,360,0.009415239765542068,0.0,0.007038353256103753,06:00
escape,370,0.008976784972538884,0.0,0.009230627221119675,06:10
escape,380,0.008999861540591684,0.0,0.006669128167258965,06:20
escape,390,0.008999861540591684,0.0,0.009599852309964463,06:30
escape,400,0.008976784972538884,0.0,0.010130613375178843,06:40
escape,410,0.008999861540591684,0.0,0.010361379055706835,06:50
escape,420,0.008976784972538884,0.0,0.008769095860063691,07:00
escape,430,0.008999861540591684,0.0,0.010199843079337242,07:10
escape,440,0.008999861540591684,0.0,0.006599898463100567,07:20
escape,450,0.008976784972538884,0.0,0.007499884617159736,07:30
escape,460,0.008999861540591684,0.0,0.012992107813725944,07:40
escape,470,0.008976784972538884,0.0,0.00823833479484931,07:50
escape,480,0.008999861540591684,0.0,0.008861402132274888,08:00
escape,490,0.008999861540591684,0.0,5.307610652143813E-4,08:10
escape,500,0.008976784972538884,0.0,0.0,08:20
escape,510,0.008999861540591684,0.0,0.0,08:30
escape,520,0.003807633728711866,0.0,0.0,08:40
