purpose,bin,traveltime,time,cumulative_traveltime
escape,1,8.80262318170815E-5,00:01,8.80262318170815E-5
escape,2,1.76052463634163E-4,00:02,2.640786954512445E-4
escape,3,3.961180431768667E-4,00:03,6.601967386281112E-4
escape,4,5.721705068110297E-4,00:04,0.0012323672454391409
escape,5,6.161836227195704E-4,00:05,0.0018485508681587112
escape,6,0.0011443410136220593,00:06,0.0029928918817807705
escape,7,0.0011443410136220593,00:07,0.004137232895402829
escape,8,0.001298386919301952,00:08,0.005435619814704781
escape,9,0.0017605246363416299,00:09,0.007196144451046411
escape,10,0.0020466098897471445,00:10,0.009242754340793555
escape,11,0.002530754164741093,00:11,0.011773508505534647
escape,12,0.002772826302238067,00:12,0.014546334807772714
escape,13,0.0033229902510948264,00:13,0.01786932505886754
escape,14,0.0033009836931405558,00:14,0.021170308752008097
escape,15,0.003499042714728989,00:15,0.024669351466737086
escape,16,0.003851147641997315,00:16,0.0285204991087344
escape,17,0.004005193547677208,00:17,0.03252569265641161
escape,18,0.004401311590854075,00:18,0.03692700424726568
escape,19,0.004533350938579697,00:19,0.04146035518584538
escape,20,0.004511344380625427,00:20,0.045971699566470806
escape,21,0.004841442749939482,00:21,0.050813142316410286
escape,22,0.004665390286305319,00:22,0.055478532602715604
escape,23,0.005017495213573645,00:23,0.06049602781628925
escape,24,0.005149534561299267,00:24,0.06564556237758852
escape,25,0.004973482097665104,00:25,0.07061904447525362
escape,26,0.005083514887436456,00:26,0.07570255936269008
escape,27,0.004885455865848023,00:27,0.0805880152285381
escape,28,0.00530358046697916,00:28,0.08589159569551727
escape,29,0.005083514887436456,00:29,0.09097511058295372
escape,30,0.005039501771527915,00:30,0.09601461235448164
escape,31,0.005369600140841971,00:31,0.1013842124953236
escape,32,0.005171541119253538,00:32,0.10655575361457714
escape,33,0.005083514887436456,00:33,0.1116392685020136
escape,34,0.004907462423802293,00:34,0.11654673092581588
escape,35,0.005171541119253538,00:35,0.12171827204506942
escape,36,0.005171541119253538,00:36,0.12688981316432296
escape,37,0.00473140996016813,00:37,0.1316212231244911
escape,38,0.004951475539710834,00:38,0.13657269866420194
escape,39,0.005017495213573645,00:39,0.14159019387777558
escape,40,0.004929468981756563,00:40,0.14651966285953213
escape,41,0.004863449307893753,00:41,0.1513831121674259
escape,42,0.004929468981756563,00:42,0.15631258114918245
escape,43,0.004665390286305319,00:43,0.16097797143548778
escape,44,0.004907462423802293,00:44,0.16588543385929008
escape,45,0.004621377170396779,00:45,0.17050681102968687
escape,46,0.0048194361919852114,00:46,0.1753262472216721
escape,47,0.004687396844259589,00:47,0.18001364406593168
escape,48,0.004687396844259589,00:48,0.18470104091019127
escape,49,0.004687396844259589,00:49,0.18938843775445086
escape,50,0.004423318148808345,00:50,0.1938117559032592
escape,51,0.004533350938579697,00:51,0.1983451068418389
escape,52,0.004423318148808345,00:52,0.20276842499064723
escape,53,0.004863449307893753,00:53,0.207631874298541
escape,54,0.004555357496533967,00:54,0.21218723179507495
escape,55,0.004621377170396779,00:55,0.21680860896547174
escape,56,0.004423318148808345,00:56,0.22123192711428008
escape,57,0.0045993706124425075,00:57,0.22583129772672259
escape,58,0.004643383728351049,00:58,0.23047468145507363
escape,59,0.004643383728351049,00:59,0.23511806518342468
escape,60,0.004577364054488237,01:00,0.23969542923791293
escape,61,0.004423318148808345,01:01,0.24411874738672126
escape,62,0.004555357496533967,01:02,0.24867410488325523
escape,63,0.004665390286305319,01:03,0.25333949516956056
escape,64,0.004489337822671156,01:04,0.2578288329922317
escape,65,0.00473140996016813,01:05,0.2625602429523998
escape,66,0.004665390286305319,01:06,0.26722563323870513
escape,67,0.004357298474945534,01:07,0.27158293171365067
escape,68,0.004643383728351049,01:08,0.2762263154420017
escape,69,0.004577364054488237,01:09,0.28080367949648993
escape,70,0.00473140996016813,01:10,0.28553508945665806
escape,71,0.004423318148808345,01:11,0.28995840760546643
escape,72,0.004665390286305319,01:12,0.29462379789177173
escape,73,0.004555357496533967,01:13,0.2991791553883057
escape,74,0.004445324706762615,01:14,0.3036244800950683
escape,75,0.0048194361919852114,01:15,0.30844391628705353
escape,76,0.004555357496533967,01:16,0.3129992737835875
escape,77,0.0045993706124425075,01:17,0.31759864439603
escape,78,0.004511344380625427,01:18,0.3221099887766555
escape,79,0.004511344380625427,01:19,0.3266213331572809
escape,80,0.004511344380625427,01:20,0.3311326775379064
escape,81,0.004533350938579697,01:21,0.3356660284764861
escape,82,0.004005193547677208,01:22,0.3396712220241633
escape,83,0.003675095178363152,01:23,0.34334631720252645
escape,84,0.0037411148522259632,01:24,0.3470874320547524
escape,85,0.0036971017363174228,01:25,0.35078453379106983
escape,86,0.003763121410180234,01:26,0.3545476552012501
escape,87,0.003719108294271693,01:27,0.3582667634955218
escape,88,0.003719108294271693,01:28,0.36198587178979347
escape,89,0.003829141084043045,01:29,0.3658150128738365
escape,90,0.003895160757905856,01:30,0.36971017363174236
escape,91,0.003587068946546071,01:31,0.37329724257828845
escape,92,0.003983186989722938,01:32,0.3772804295680114
escape,93,0.003675095178363152,01:33,0.38095552474637456
escape,94,0.003895160757905856,01:34,0.3848506855042804
escape,95,0.003675095178363152,01:35,0.3885257806826436
escape,96,0.003763121410180234,01:36,0.39228890209282385
escape,97,0.003785127968134504,01:37,0.39607403006095837
escape,98,0.0038071345260887743,01:38,0.39988116458704714
escape,99,0.003763121410180234,01:39,0.4036442859972274
escape,100,0.003917167315860126,01:40,0.4075614533130875
escape,101,0.003675095178363152,01:41,0.4112365484914507
escape,102,0.0039391738738143965,01:42,0.41517572236526507
escape,103,0.0037411148522259632,01:43,0.418916837217491
escape,104,0.003763121410180234,01:44,0.42267995862767127
escape,105,0.003895160757905856,01:45,0.42657511938557713
escape,106,0.004071213221540019,01:46,0.43064633260711715
escape,107,0.003851147641997315,01:47,0.43449748024911444
escape,108,0.004027200105631478,01:48,0.4385246803547459
escape,109,0.004027200105631478,01:49,0.44255188046037736
escape,110,0.004225259127219911,01:50,0.4467771395875973
escape,111,0.003851147641997315,01:51,0.4506282872295946
escape,112,0.004027200105631478,01:52,0.45465548733522604
escape,113,0.004071213221540019,01:53,0.45872670055676606
escape,114,0.003917167315860126,01:54,0.4626438678726262
escape,115,0.0040492066635857485,01:55,0.46669307453621195
escape,116,0.003917167315860126,01:56,0.47061024185207206
escape,117,0.004005193547677208,01:57,0.47461543539974926
escape,118,0.003917167315860126,01:58,0.4785326027156094
escape,119,0.003983186989722938,01:59,0.4825157897053323
escape,120,0.004247265685174182,02:00,0.4867630553905065
escape,121,0.003785127968134504,02:01,0.49054818335864103
escape,122,0.004005193547677208,02:02,0.49455337690631823
escape,123,0.003763121410180234,02:03,0.4983164983164985
escape,124,0.0041592394533571005,02:04,0.5024757377698555
escape,125,0.003961180431768667,02:05,0.5064369182016242
escape,126,0.0038731541999515854,02:06,0.5103100724015758
escape,127,0.0040492066635857485,02:07,0.5143592790651615
escape,128,0.003895160757905856,02:08,0.5182544398230674
escape,129,0.004027200105631478,02:09,0.5222816399286989
escape,130,0.0040492066635857485,02:10,0.5263308465922847
escape,131,0.0039391738738143965,02:11,0.5302700204660991
escape,132,0.003917167315860126,02:12,0.5341871877819592
escape,133,0.003961180431768667,02:13,0.5381483682137278
escape,134,0.004027200105631478,02:14,0.5421755683193593
escape,135,0.003983186989722938,02:15,0.5461587553090822
escape,136,0.004093219779494289,02:16,0.5502519750885765
escape,137,0.0036971017363174228,02:17,0.5539490768248939
escape,138,0.003719108294271693,02:18,0.5576681851191656
escape,139,0.003983186989722938,02:19,0.5616513721088885
escape,140,0.0035210492726832597,02:20,0.5651724213815718
escape,141,0.0039391738738143965,02:21,0.5691115952553861
escape,142,0.003895160757905856,02:22,0.573006756013292
escape,143,0.0037411148522259632,02:23,0.5767478708655179
escape,144,0.003895160757905856,02:24,0.5806430316234238
escape,145,0.003719108294271693,02:25,0.5843621399176955
escape,146,0.003917167315860126,02:26,0.5882793072335556
escape,147,0.003609075504500341,02:27,0.5918883827380559
escape,148,0.0038731541999515854,02:28,0.5957615369380075
escape,149,0.0036310820624546117,02:29,0.5993926190004621
escape,150,0.0038071345260887743,02:30,0.603199753526551
