purpose,h,arrival,departure
escape,0,0.23956940509915015,0.9986402266288952
escape,1,0.2658130311614731,0.0013597733711048158
escape,2,0.21443626062322946,0.0
escape,3,0.10826062322946176,0.0
escape,4,0.05321246458923513,0.0
escape,5,0.05305382436260623,0.0
escape,6,0.05303116147308782,0.0
escape,7,0.012623229461756374,0.0
