purpose,bin,arrival,departure,traveltime,time
escape,10,0.01660276073619632,0.027933282208588955,0.3795628834355828,00:10
escape,20,0.08107745398773006,0.15473542944785276,0.0843941717791411,00:20
escape,30,0.11713957055214724,0.35475460122699387,0.06541411042944785,00:30
escape,40,0.11313266871165645,0.3259969325153374,0.062346625766871167,00:40
escape,50,0.10368098159509202,0.1182898773006135,0.06550996932515338,00:50
escape,60,0.08178680981595092,0.017484662576687116,0.06988113496932516,01:00
escape,70,0.06395705521472393,8.052147239263804E-4,0.05475460122699387,01:10
escape,80,0.06457055214723927,0.0,0.0414877300613497,01:20
escape,90,0.06324769938650307,0.0,0.041142638036809814,01:30
escape,100,0.05655674846625767,0.0,0.03713573619631902,01:40
escape,110,0.04906058282208589,0.0,0.038362730061349694,01:50
escape,120,0.046434049079754604,0.0,0.029716257668711655,02:00
escape,130,0.03562116564417178,0.0,0.029351993865030675,02:10
escape,140,0.03310966257668712,0.0,9.394171779141104E-4,02:20
escape,150,0.03464340490797546,0.0,0.0,02:30
escape,160,0.029965490797546013,0.0,0.0,02:40
escape,170,0.009413343558282208,0.0,0.0,02:50
