Info,Fastest,Shortest,Polaris
Number of cars,52160.0,52160.0,52046.0
Total time traveled [h],34381.0,33622.0,43790.0
Total distance traveled [km],82662.0,81934.0,65370.0
Avg. speed [km/h],2.4,2.44,1.49
Avg. distance per trip [km],1.58,1.57,1.26
Avg. traveltime per trip [minutes],39.55,38.68,50.48
