Info,Fastest,Shortest,Polaris
Number of cars,45441.0,45441.0,43334.0
Total time traveled [h],77522.0,121077.0,120629.0
Total distance traveled [km],233822.0,214523.0,146694.0
Avg. speed [km/h],3.02,1.77,1.22
Avg. distance per trip [km],5.15,4.72,3.39
Avg. traveltime per trip [minutes],102.36,159.87,167.02
