Info,Basis,More Exits
Number of cars,45441.0,35146.0
Total time traveled [h],76987.0,8050.0
Total distance traveled [km],233822.0,72237.0
Avg. speed [km/h],3.04,8.97
Avg. distance per trip [km],5.15,2.06
Avg. traveltime per trip [minutes],101.65,13.74
