purpose,bin,traveltime,time,cumulative_traveltime
escape,1,1.1003278977135187E-4,00:01,1.1003278977135187E-4
escape,2,1.3203934772562222E-4,00:02,2.420721374969741E-4
escape,3,3.080918113597852E-4,00:03,5.501639488567593E-4
escape,4,3.300983693140556E-4,00:04,8.802623181708149E-4
escape,5,3.300983693140556E-4,00:05,0.0012103606874848704
escape,6,3.080918113597852E-4,00:06,0.0015184524988446557
escape,7,2.420721374969741E-4,00:07,0.0017605246363416299
escape,8,4.6213771703967785E-4,00:08,0.0022226623533813075
escape,9,3.961180431768667E-4,00:09,0.002618780396558174
escape,10,5.721705068110297E-4,00:10,0.003190950903369204
escape,11,6.601967386281112E-4,00:11,0.0038511476419973148
escape,12,8.362492022622742E-4,00:12,0.004687396844259589
escape,13,7.702295283994631E-4,00:13,0.005457626372659052
escape,14,9.242754340793557E-4,00:14,0.006381901806738408
escape,15,8.362492022622742E-4,00:15,0.007218151009000682
escape,16,0.0010563147818049778,00:16,0.00827446579080566
escape,17,9.682885499878964E-4,00:17,0.009242754340793557
escape,18,0.0015184524988446557,00:18,0.010761206839638212
escape,19,0.0016504918465702779,00:19,0.01241169868620849
escape,20,0.0014524328249818446,00:20,0.013864131511190335
escape,21,0.0015844721727074668,00:21,0.015448603683897801
escape,22,0.0021346361215642262,00:22,0.017583239805462027
escape,23,0.0021126295636099556,00:23,0.019695869369071983
escape,24,0.002178649237472767,00:24,0.02187451860654475
escape,25,0.0023987148170154706,00:25,0.02427323342356022
escape,26,0.0032129574613234744,00:26,0.027486190884883695
escape,27,0.0029928918817807705,00:27,0.030479082766664466
escape,28,0.0033229902510948264,00:28,0.03380207301775929
escape,29,0.003367003367003367,00:29,0.037169076384762655
escape,30,0.0034550295988204486,00:30,0.040624105983583104
escape,31,0.0033890099249576375,00:31,0.04401311590854074
escape,32,0.003785127968134504,00:32,0.047798243876675243
escape,33,0.003895160757905856,00:33,0.0516934046345811
escape,34,0.004005193547677208,00:34,0.05569859818225831
escape,35,0.0041592394533571005,00:35,0.059857837635615405
escape,36,0.003917167315860126,00:36,0.06377500495147553
escape,37,0.004445324706762615,00:37,0.06822032965823815
escape,38,0.00413723289540283,00:38,0.07235756255364098
escape,39,0.004247265685174182,00:39,0.07660482823881516
escape,40,0.004467331264716885,00:40,0.08107215950353205
escape,41,0.004181246011311371,00:41,0.08525340551484342
escape,42,0.004533350938579697,00:42,0.08978675645342311
escape,43,0.00473140996016813,00:43,0.09451816641359125
escape,44,0.004467331264716885,00:44,0.09898549767830814
escape,45,0.004643383728351049,00:45,0.10362888140665918
escape,46,0.004467331264716885,00:46,0.10809621267137606
escape,47,0.004401311590854075,00:47,0.11249752426223014
escape,48,0.004577364054488237,00:48,0.11707488831671838
escape,49,0.004753416518122401,00:49,0.12182830483484078
escape,50,0.005171541119253538,00:50,0.1269998459540943
escape,51,0.004863449307893753,00:51,0.13186329526198806
escape,52,0.005017495213573645,00:52,0.1368807904755617
escape,53,0.005061508329482186,00:53,0.1419422988050439
escape,54,0.004797429634030941,00:54,0.14673972843907482
escape,55,0.005105521445390726,00:55,0.15184524988446554
escape,56,0.005149534561299267,00:56,0.1569947844457648
escape,57,0.004951475539710834,00:57,0.16194625998547565
escape,58,0.004841442749939482,00:58,0.16678770273541513
escape,59,0.004885455865848023,00:59,0.17167315860126314
escape,60,0.005083514887436456,01:00,0.1767566734886996
escape,61,0.005039501771527915,01:01,0.18179617526022754
escape,62,0.004973482097665104,01:02,0.18676965735789264
escape,63,0.004885455865848023,01:03,0.19165511322374065
escape,64,0.004995488655619375,01:04,0.19665060187936004
escape,65,0.005017495213573645,01:05,0.20166809709293368
escape,66,0.004643383728351049,01:06,0.20631148082128473
escape,67,0.004885455865848023,01:07,0.21119693668713274
escape,68,0.004775423076076671,01:08,0.21597235976320941
escape,69,0.004643383728351049,01:09,0.22061574349156046
escape,70,0.004973482097665104,01:10,0.22558922558922556
escape,71,0.0045993706124425075,01:11,0.23018859620166807
escape,72,0.004577364054488237,01:12,0.23476596025615631
escape,73,0.004907462423802293,01:13,0.23967342267995861
escape,74,0.004775423076076671,01:14,0.2444488457560353
escape,75,0.004753416518122401,01:15,0.24920226227415768
escape,76,0.004511344380625427,01:16,0.2537136066547831
escape,77,0.004577364054488237,01:17,0.2582909707092713
escape,78,0.004577364054488237,01:18,0.26286833476375954
escape,79,0.004643383728351049,01:19,0.2675117184921106
