dist_group,main_mode,share
0 - 1000,car,0.06508200834911149
1000 - 2000,car,0.18979400962657117
2000 - 5000,car,0.5087255058512216
5000 - 10000,car,0.1702443141638342
10000 - 20000,car,0.06615416200926158
