link,Agents,car
109160,68.0,68.0
103283,46.0,46.0
7608,45.0,45.0
67540,36.0,36.0
107906,30.0,30.0
53329,28.0,28.0
128308,26.0,26.0
106135,25.0,25.0
30431,22.0,22.0
32959,20.0,20.0
105502,17.0,17.0
94243,17.0,17.0
62174,15.0,15.0
67695,14.0,14.0
121551,12.0,12.0
79873,10.0,10.0
105443,8.0,8.0
62058,8.0,8.0
78380,8.0,8.0
89531,7.0,7.0
