time,x,y,value
0.0,12.503702652941175,55.61473869803922,1.0
0.0,12.503876159999999,55.61453153333333,1.0
0.0,12.504290005882352,55.614949696078426,1.0
0.0,12.504492520000001,55.614716766666675,1.0
0.0,12.50487735882353,55.61516069411765,1.0
0.0,12.50510888,55.614902,1.0
0.0,12.505464711764706,55.615371692156856,1.0
0.0,12.50572524,55.615087233333334,1.0
0.0,12.506052064705882,55.61558269019608,1.0
0.0,12.5063416,55.61527246666667,1.0
0.0,12.506639417647058,55.615793688235286,1.0
0.0,12.506957960000001,55.61545770000001,1.0
0.0,12.507226770588234,55.61600468627451,1.0
0.0,12.50757432,55.61564293333333,1.0
0.0,12.50781412352941,55.61621568431373,1.0
0.0,12.50819068,55.61582816666666,1.0
0.0,12.508401476470588,55.61642668235294,1.0
0.0,12.50880704,55.61601340000001,1.0
0.0,12.508988829411765,55.61663768039216,1.0
0.0,12.5094234,55.61619863333333,1.0
0.0,12.50957618235294,55.61684867843137,1.0
0.0,12.51003976,55.616383866666666,1.0
0.0,12.510163535294117,55.61705967647059,1.0
0.0,12.510656120000002,55.6165691,1.0
0.0,12.510750888235293,55.6172706745098,1.0
0.0,12.51127248,55.61675433333333,1.0
0.0,12.511338241176471,55.61748167254902,1.0
0.0,12.51188884,55.61693956666667,1.0
0.0,12.511925594117645,55.61769267058823,1.0
0.0,12.512505200000001,55.6171248,1.0
0.0,12.512512947058823,55.61790366862745,1.0
0.0,12.512636275,55.6128207,1.0
0.0,12.51278555,55.613022400000006,1.0
0.0,12.512934825,55.6132241,1.0
0.0,12.513100299999998,55.61811466666667,1.0
0.0,12.513121559999998,55.61731003333333,1.0
0.0,12.513422528125,55.61312370859375,1.0
0.0,12.51351675,55.613777925,1.0
0.0,12.513687652941176,55.61832566470588,1.0
0.0,12.51373792,55.617495266666666,1.0
0.0,12.51376095625,55.6128216171875,1.0
0.0,12.513949400000001,55.61413005,1.0
0.0,12.514099384375,55.61251952578125,1.0
0.0,12.514275005882354,55.6185366627451,1.0
0.0,12.51435428,55.6176805,1.0
0.0,12.51438205,55.614482175000006,1.0
0.0,12.5144378125,55.612217434375005,1.0
0.0,12.514776240625,55.61191534296875,1.0
0.0,12.5148147,55.6148343,1.0
0.0,12.51486235882353,55.61874766078431,1.0
0.0,12.51497064,55.61786573333333,1.0
0.0,12.51511466875,55.6116132515625,1.0
0.0,12.515247350000001,55.615186425,1.0
0.0,12.515449711764706,55.61895865882353,1.0
0.0,12.515453096875,55.61131116015625,1.0
0.0,12.515587,55.618050966666665,1.0
0.0,12.51568,55.61553855,1.0
0.0,12.515791525,55.61100906875001,1.0
0.0,12.516037064705882,55.61916965686274,1.0
0.0,12.51611265,55.615890675,1.0
0.0,12.516129953125,55.61070697734375,1.0
0.0,12.51620336,55.6182362,1.0
0.0,12.51646838125,55.6104048859375,1.0
0.0,12.516624417647058,55.61938065490196,1.0
0.0,12.516806809375002,55.61010279453125,1.0
0.0,12.51681972,55.61842143333333,1.0
0.0,12.517145237500001,55.609800703124996,1.0
0.0,12.517211770588235,55.61959165294117,1.0
0.0,12.51743608,55.618606666666665,1.0
0.0,12.517483665625,55.609498611718756,1.0
0.0,12.51779912352941,55.61980265098039,1.0
0.0,12.51782209375,55.6091965203125,1.0
0.0,12.51805244,55.618791900000005,1.0
0.0,12.518144744444443,55.615649177777776,1.0
0.0,12.518144744444445,55.615649177777776,1.0
0.0,12.518160521875,55.608894428906254,1.0
0.0,12.518386476470589,55.620013649019604,1.0
0.0,12.51849895,55.6085923375,1.0
0.0,12.5186688,55.61897713333334,1.0
0.0,12.51868958888889,55.615972155555546,1.0
0.0,12.51868958888889,55.61597215555555,1.0
0.0,12.518837378125,55.608290246093745,1.0
0.0,12.518973829411765,55.62022464705882,1.0
0.0,12.51917580625,55.607988154687504,1.0
0.0,12.519234433333335,55.61629513333333,1.0
0.0,12.519234433333335,55.61629513333334,1.0
0.0,12.519285159999999,55.61916236666667,1.0
0.0,12.519514234375,55.60768606328125,1.0
0.0,12.519561182352941,55.62043564509804,1.0
0.0,12.51977927777778,55.61661811111111,1.0
0.0,12.5198526625,55.607383971875,1.0
0.0,12.519901520000001,55.619347600000005,1.0
0.0,12.520148535294117,55.62064664313725,1.0
0.0,12.520191090625,55.60708188046875,1.0
0.0,12.520324122222222,55.616941088888886,1.0
0.0,12.52051788,55.61953283333334,1.0
0.0,12.52052951875,55.6067797890625,1.0
0.0,12.520735888235293,55.620857641176464,1.0
0.0,12.520867946875,55.60647769765625,1.0
0.0,12.520868966666665,55.617264066666664,1.0
0.0,12.520868966666667,55.61726406666667,1.0
0.0,12.52113424,55.619718066666664,1.0
0.0,12.521206375000002,55.606175606250005,1.0
0.0,12.521323241176471,55.621068639215686,1.0
0.0,12.521413811111112,55.61758704444445,1.0
0.0,12.521413811111113,55.61758704444445,1.0
0.0,12.521544803125002,55.60587351484375,1.0
0.0,12.52168475,55.61489275,1.0
0.0,12.5217506,55.619903300000004,1.0
0.0,12.521883231250001,55.605571423437496,1.0
0.0,12.521910594117646,55.6212796372549,1.0
0.0,12.521958655555554,55.61791002222222,1.0
0.0,12.5221965,55.6150787,1.0
0.0,12.522221659375,55.60526933203125,1.0
0.0,12.522366960000001,55.62008853333334,1.0
0.0,12.522497947058824,55.62149063529411,1.0
0.0,12.5225035,55.618233000000004,1.0
0.0,12.5225600875,55.604967240625,1.0
0.0,12.522708249999999,55.61526465,1.0
0.0,12.522898515625,55.604665149218754,1.0
0.0,12.52298332,55.62027376666667,1.0
0.0,12.523048344444444,55.618555977777774,1.0
0.0,12.5230853,55.62170163333334,1.0
0.0,12.52323694375,55.6043630578125,1.0
0.0,12.523575371875001,55.60406096640625,1.0
0.0,12.523593188888889,55.61887895555556,1.0
0.0,12.52359968,55.620459,1.0
