purpose,bin,traveltime,time,cumulative_traveltime
escape,1,7.397712399704092E-4,00:01,7.397712399704092E-4
escape,2,7.68223979969271E-4,00:02,0.0015079952199396802
escape,3,6.544130199738234E-4,00:03,0.0021624082399135038
escape,4,9.958458999601663E-4,00:04,0.00315825413987367
escape,5,0.0010242986399590281,00:05,0.004182552779832698
escape,6,0.0017071643999317133,00:06,0.005889717179764412
escape,7,0.0016218061799351277,00:07,0.007511523359699539
escape,8,0.002361577419905537,00:08,0.009873100779605076
escape,9,0.002902179479883913,00:09,0.01277528025948899
escape,10,0.003385876059864565,00:10,0.016161156319353553
escape,11,0.004893871279804245,00:11,0.021055027599157797
escape,12,0.005861264439765549,00:12,0.026916292038923345
escape,13,0.0068855630797245776,00:13,0.033801855118647924
escape,14,0.00856427473965743,00:14,0.04236612985830535
escape,15,0.010555966539577761,00:15,0.05292209639788312
escape,16,0.010812041199567518,00:16,0.06373413759745064
escape,17,0.013031354919478745,00:17,0.07676549251692938
escape,18,0.01414101177943436,00:18,0.09090650429636374
escape,19,0.01490923575940363,00:19,0.10581574005576737
escape,20,0.01658794741933648,00:20,0.12240368747510386
escape,21,0.017811415239287542,00:21,0.1402151027143914
escape,22,0.018750355659249984,00:22,0.15896545837364137
escape,23,0.01849428099926023,00:23,0.1774597393729016
escape,24,0.019234052239230637,00:24,0.19669379161213224
escape,25,0.020201445399191942,00:25,0.21689523701132418
escape,26,0.02151027143913959,00:26,0.23840550845046377
escape,27,0.02136800773914528,00:27,0.25977351618960903
escape,28,0.021026574859158938,00:28,0.28080009104876796
escape,29,0.019916917999203324,00:29,0.3007170090479713
escape,30,0.022449211859102033,00:30,0.3231662209070733
escape,31,0.021737893359130483,00:31,0.3449041142662038
escape,32,0.023075172139076994,00:32,0.3679792864052808
escape,33,0.02225004267911,00:33,0.39022932908439084
escape,34,0.02108348033915666,00:34,0.4113128094235475
escape,35,0.02079895293916804,00:35,0.43211176236271553
escape,36,0.0216525351391339,00:36,0.45376429750184943
escape,37,0.019461674159221534,00:37,0.47322597166107094
escape,38,0.019945370739202186,00:38,0.4931713424002731
escape,39,0.01940476867922381,00:39,0.512576111079497
escape,40,0.018835713879246572,00:40,0.5314118249587435
escape,41,0.018095942639276164,00:41,0.5495077675980197
escape,42,0.01715700221931372,00:42,0.5666647698173334
escape,43,0.017327718659306893,00:43,0.5839924884766403
escape,44,0.017327718659306893,00:44,0.6013202071359472
escape,45,0.01658794741933648,00:45,0.6179081545552837
escape,46,0.014994593979400216,00:46,0.6329027485346839
escape,47,0.014966141239401355,00:47,0.6478688897740852
escape,48,0.013600409719455983,00:48,0.6614692994935412
escape,49,0.013458146019461674,00:49,0.6749274455130029
escape,50,0.01234848915950606,00:50,0.6872759346725089
escape,51,0.011864792579525408,00:51,0.6991407272520344
escape,52,0.01277528025948899,00:52,0.7119160075115234
escape,53,0.012291583679508337,00:53,0.7242075911910317
escape,54,0.011466454219541343,00:54,0.735674045410573
escape,55,0.010299891879588005,00:55,0.745973937290161
escape,56,0.010100722699595971,00:56,0.756074659989757
escape,57,0.010129175439594833,00:57,0.7662038354293518
escape,58,0.010129175439594833,00:58,0.7763330108689466
escape,59,0.009417856939623286,00:59,0.7857508678085698
escape,60,0.009047971319638082,01:00,0.7947988391282079
escape,61,0.008791896659648324,01:01,0.8035907357878562
escape,62,0.008678085699652876,01:02,0.8122688214875091
escape,63,0.009104876799635805,01:03,0.8213736982871449
escape,64,0.009161782279633528,01:04,0.8305354805667784
escape,65,0.009360951459625563,01:05,0.839896432026404
escape,66,0.00887725487964491,01:06,0.8487736869060488
escape,67,0.007141637739714334,01:07,0.8559153246457631
escape,68,0.006800204859727992,01:08,0.8627155295054911
escape,69,0.0060604336197575825,01:09,0.8687759631252487
escape,70,0.005576737039776931,01:10,0.8743527001650256
escape,71,0.0058328116997666875,01:11,0.8801855118647923
escape,72,0.005548284299778068,01:12,0.8857337961645704
escape,73,0.005519831559779207,01:13,0.8912536277243496
escape,74,0.004979229499800831,01:14,0.8962328572241504
escape,75,0.005064587719797417,01:15,0.9012974449439478
escape,76,0.004609343879815626,01:16,0.9059067888237634
escape,77,0.0051499459397940026,01:17,0.9110567347635574
escape,78,0.0054629260797814825,01:18,0.9165196608433389
escape,79,0.00421100551983156,01:19,0.9207306663631705
escape,80,0.00421100551983156,01:20,0.924941671883002
escape,81,0.004154100039833836,01:21,0.9290957719228359
escape,82,0.0038980253798440788,01:22,0.93299379730268
escape,83,0.004125647299834974,01:23,0.937119444602515
escape,84,0.00466624935981335,01:24,0.9417856939623283
escape,85,0.0047800603198087975,01:25,0.9465657542821371
escape,86,0.004438627439822455,01:26,0.9510043817219596
escape,87,0.0043248164798270075,01:27,0.9553291982017865
escape,88,0.004523985659819041,01:28,0.9598531838616056
escape,89,0.0045524383998179025,01:29,0.9644056222614235
escape,90,0.004239458259830422,01:30,0.9686450805212539
escape,91,0.00421100551983156,01:31,0.9728560860410854
escape,92,0.003869572639845217,01:32,0.9767256586809306
escape,93,0.0027314630398907413,01:33,0.9794571217208213
escape,94,0.0017356171399305752,01:34,0.9811927388607519
escape,95,0.0010812041199567519,01:35,0.9822739429807086
escape,96,0.0011950150799521994,01:36,0.9834689580606608
escape,97,0.00105275137995789,01:37,0.9845217094406187
escape,98,0.0011381095999544756,01:38,0.9856598190405732
escape,99,0.00105275137995789,01:39,0.9867125704205311
escape,100,0.0010812041199567519,01:40,0.9877937745404878
escape,101,0.0011096568599556138,01:41,0.9889034314004433
escape,102,0.0011665623399533375,01:42,0.9900699937403967
escape,103,0.0011381095999544756,01:43,0.9912081033403513
escape,104,0.0011096568599556138,01:44,0.9923177602003068
escape,105,0.0011950150799521994,01:45,0.993512775280259
escape,106,0.0010242986399590281,01:46,0.9945370739202181
escape,107,0.0011096568599556138,01:47,0.9956467307801736
escape,108,0.0011665623399533375,01:48,0.996813293120127
escape,109,0.00105275137995789,01:49,0.9978660445000849
escape,110,0.0011950150799521994,01:50,0.9990610595800371
escape,111,9.389404199624424E-4,01:51,0.9999999999999996
