bin,cumulative_traveltime_dijkstra-fastest-path
1,0.0007397712399704092
2,0.0015079952199396
3,0.0021624082399135
4,0.0031582541398736
5,0.0041825527798326
6,0.0058897171797644
7,0.0075115233596995
8,0.009873100779605
9,0.0127752802594889
10,0.0161611563193535
11,0.0210550275991577
12,0.0269162920389233
13,0.0338018551186479
14,0.0423661298583053
15,0.0529220963978831
16,0.0637341375974506
17,0.0767654925169293
18,0.0909065042963637
19,0.1058157400557673
20,0.1224036874751038
21,0.1402151027143914
22,0.1589654583736413
23,0.1774597393729016
24,0.1966937916121322
25,0.2168952370113241
26,0.2384055084504637
27,0.259773516189609
28,0.2808000910487679
29,0.3007170090479713
30,0.3231662209070733
31,0.3449041142662038
32,0.3679792864052808
33,0.3902293290843908
34,0.4113128094235475
35,0.4321117623627155
36,0.4537642975018494
37,0.4732259716610709
38,0.4931713424002731
39,0.512576111079497
40,0.5314118249587435
41,0.5495077675980197
42,0.5666647698173334
43,0.5839924884766403
44,0.6013202071359472
45,0.6179081545552837
46,0.6329027485346839
47,0.6478688897740852
48,0.6614692994935412
49,0.6749274455130029
50,0.6872759346725089
51,0.6991407272520344
52,0.7119160075115234
53,0.7242075911910317
54,0.735674045410573
55,0.745973937290161
56,0.756074659989757
57,0.7662038354293518
58,0.7763330108689466
59,0.7857508678085698
60,0.7947988391282079
61,0.8035907357878562
62,0.8122688214875091
63,0.8213736982871449
64,0.8305354805667784
65,0.839896432026404
66,0.8487736869060488
67,0.8559153246457631
68,0.8627155295054911
69,0.8687759631252487
70,0.8743527001650256
71,0.8801855118647923
72,0.8857337961645704
73,0.8912536277243496
74,0.8962328572241504
75,0.9012974449439478
76,0.9059067888237634
77,0.9110567347635574
78,0.9165196608433388
79,0.9207306663631704
80,0.924941671883002
81,0.929095771922836
82,0.93299379730268
83,0.937119444602515
84,0.9417856939623284
85,0.9465657542821372
86,0.9510043817219596
87,0.9553291982017864
88,0.9598531838616056
89,0.9644056222614236
90,0.968645080521254
91,0.9728560860410854
92,0.9767256586809306
93,0.9794571217208212
94,0.981192738860752
95,0.9822739429807086
96,0.9834689580606608
97,0.9845217094406188
98,0.9856598190405732
99,0.9867125704205312
100,0.9877937745404878
101,0.9889034314004432
102,0.9900699937403968
103,0.9912081033403513
104,0.9923177602003068
105,0.993512775280259
106,0.994537073920218
107,0.9956467307801736
108,0.996813293120127
109,0.9978660445000848
110,0.9990610595800372
111,0.9999999999999996
