Info,Dijkstra - Fastest Path
Number of cars,35146.0
Total time traveled [h],8050.0
Total distance traveled [km],72237.0
Avg. speed [km/h],8.97
Avg. distance per trip [km],2.06
Avg. traveltime per trip [minutes],13.74
