link_id,lane_km,road_capacity_utilization,avg_speed,congestion_index,speed_performance_index,simulated_traffic_volume,vol_car
12848,0.08179256228708293,3.386574074074076E-4,49.95236989014523,0.9990370180960935,0.9990370180960935,19.0,19.0
12849,0.08179256228708293,0.0,50.0005475010186,1.0,1.0,0.0,0.0
12850,0.2522806273432456,0.0,50.00056476743471,1.0,1.0,0.0,0.0
12851,0.2522806273432456,0.0,50.00056476743471,1.0,1.0,0.0,0.0
12852,0.07787698504902486,0.0,50.001274509807295,1.0,1.0,0.0,0.0
12853,0.07787698504902486,1.7824074074074064E-4,49.898928151045034,0.9979538693933844,0.9979538693933844,10.0,10.0
12854,0.07918951567106469,4.812499999999999E-4,49.92778463315244,0.9984460683766493,0.9984460683766493,27.0,27.0
12855,0.07918951567106469,0.0,50.005658027685136,1.0,1.0,0.0,0.0
12856,0.07898135111873084,0.0,50.00577981488411,1.0,1.0,0.0,0.0
12857,0.07898135111873084,0.0,50.00577981488411,1.0,1.0,0.0,0.0
12858,0.08164519865264891,0.0,50.00386443510311,1.0,1.0,0.0,0.0
12859,0.08164519865264891,0.0,50.00386443510311,1.0,1.0,0.0,0.0
12860,0.32474456491275,0.0,50.00130164175612,1.0,1.0,0.0,0.0
12861,0.32474456491275,0.0,50.00130164175612,1.0,1.0,0.0,0.0
12862,0.2522806273432456,1.960648148148149E-4,49.95473091639789,0.9990835582990282,0.9990835582990282,11.0,11.0
12863,0.2522806273432456,0.0,50.00056476743471,1.0,1.0,0.0,0.0
12864,0.32474456491275,7.12962962962963E-5,50.00130164175612,1.0,1.0,4.0,4.0
12865,0.32474456491275,0.0,50.00130164175612,1.0,1.0,0.0,0.0
12866,0.08027923799332701,0.0,50.000909476812666,1.0,1.0,0.0,0.0
12867,0.08027923799332701,0.0,50.000909476812666,1.0,1.0,0.0,0.0
12868,0.08483106926244384,0.0,50.006852684591095,1.0,1.0,0.0,0.0
12869,0.08483106926244384,0.0,50.006852684591095,1.0,1.0,0.0,0.0
12870,0.3216086681475311,1.7824074074074075E-5,50.001779543559145,1.0,1.0,1.0,1.0
12871,0.3216086681475311,0.0,50.001779543559145,1.0,1.0,0.0,0.0
12872,0.08483106926244384,0.0,50.006852684591095,1.0,1.0,0.0,0.0
12873,0.08483106926244384,0.0,50.006852684591095,1.0,1.0,0.0,0.0
12874,0.007401611660224171,0.0,50.08609394136657,1.0,1.0,0.0,0.0
12875,0.007401611660224171,0.0,50.08609394136657,1.0,1.0,0.0,0.0
12876,0.14858569167232746,0.0,50.00079360818647,1.0,1.0,0.0,0.0
12877,0.14858569167232746,0.0,50.00079360818647,1.0,1.0,0.0,0.0
12878,0.16975110945605956,4.634259259259258E-4,49.8756464891184,0.9975066662847317,0.9975066662847317,26.0,26.0
12879,0.16975110945605956,0.0,50.000326791181024,1.0,1.0,0.0,0.0
12880,0.08699647609918226,0.0,50.00595784082008,1.0,1.0,0.0,0.0
12881,0.08699647609918226,0.0,50.00595784082008,1.0,1.0,0.0,0.0
12882,0.039989943564601296,0.0,50.004792230831775,1.0,1.0,0.0,0.0
12883,0.039989943564601296,0.0,50.004792230831775,1.0,1.0,0.0,0.0
12884,0.08987574562829333,0.0,50.0004148140714,1.0,1.0,0.0,0.0
12885,0.08987574562829333,0.0,50.0004148140714,1.0,1.0,0.0,0.0
12886,0.23437442363626562,0.0,50.00284017367289,1.0,1.0,0.0,0.0
12887,0.23437442363626562,0.0,50.00284017367289,1.0,1.0,0.0,0.0
12888,0.08699647609918226,0.0,50.00595784082008,1.0,1.0,0.0,0.0
12889,0.08699647609918226,0.0,50.00595784082008,1.0,1.0,0.0,0.0
12890,0.10699195918167767,0.0,50.0027330980189,1.0,1.0,0.0,0.0
12891,0.10699195918167767,0.0,50.0027330980189,1.0,1.0,0.0,0.0
12892,0.0965719977932943,0.0,50.001322027306124,1.0,1.0,0.0,0.0
12893,0.0965719977932943,0.0,50.001322027306124,1.0,1.0,0.0,0.0
12894,0.13402900322435826,0.0,50.00045716141862,1.0,1.0,0.0,0.0
12895,0.13402900322435826,0.0,50.00045716141862,1.0,1.0,0.0,0.0
12896,0.08987574562829333,0.0,50.0004148140714,1.0,1.0,0.0,0.0
12897,0.08987574562829333,1.604166666666666E-4,49.88233347730067,0.99763863252338,0.99763863252338,9.0,9.0
12898,0.07951136192648342,2.317129629629629E-4,49.935260593530884,0.9985667607224313,0.9985667607224313,13.0,13.0
12899,0.07951136192648342,0.0,50.00714586571284,1.0,1.0,0.0,0.0
12900,0.20183390526822134,0.0,50.00014168494336,1.0,1.0,0.0,0.0
12901,0.20183390526822134,0.0,50.00014168494336,1.0,1.0,0.0,0.0
12902,0.20183390526822134,0.0,50.00014168494336,1.0,1.0,0.0,0.0
12903,0.20183390526822134,0.0,50.00014168494336,1.0,1.0,0.0,0.0
12904,0.19916251671167357,0.0,60.008793117009105,1.0,1.0,0.0,0.0
12905,0.19916251671167357,0.0,60.008793117009105,1.0,1.0,0.0,0.0
12906,0.17129996318973595,0.0046990740740740725,59.652428306375114,0.9940208256645283,0.9940208256645283,280.0,280.0
12907,0.17129996318973595,0.0,60.01166479982965,1.0,1.0,0.0,0.0
12908,0.14050458510065153,0.0,50.001631708416916,1.0,1.0,0.0,0.0
12909,0.14050458510065153,0.0,50.001631708416916,1.0,1.0,0.0,0.0
12910,0.0965719977932943,0.0,50.001322027306124,1.0,1.0,0.0,0.0
12911,0.0965719977932943,0.0,50.001322027306124,1.0,1.0,0.0,0.0
12912,0.07361519395424815,0.0,50.00277325194213,1.0,1.0,0.0,0.0
12913,0.07361519395424815,0.0,50.00277325194213,1.0,1.0,0.0,0.0
12914,0.14050458510065153,7.12962962962963E-5,50.001631708416916,1.0,1.0,4.0,4.0
12915,0.14050458510065153,0.0,50.001631708416916,1.0,1.0,0.0,0.0
12916,0.09600887756754604,0.0,50.004623733096906,1.0,1.0,0.0,0.0
12917,0.09600887756754604,0.0,50.004623733096906,1.0,1.0,0.0,0.0
12918,0.04690214102941059,0.001960648148148148,49.689039575174746,0.9935099391053913,0.9935099391053913,110.0,110.0
